timestamp,eye_open,perclos,mar,head_tilt,head_nod,status
1769707862.8009667,4.63,0.0,0.89,1,0,WARNING
1769707862.8320239,4.61,0.0,0.83,1,0,WARNING
1769707862.8841372,5.24,0.0,0.86,1,0,WARNING
1769707862.8981109,5.27,0.0,0.81,1,0,WARNING
1769707862.9272125,5.08,0.0,0.85,1,0,WARNING
1769707862.9814153,4.55,0.0,0.74,1,0,WARNING
1769707863.0333521,4.07,0.0,0.65,1,0,WARNING
1769707863.0454533,4.77,0.0,0.67,1,0,WARNING
1769707863.0880988,5.37,0.0,0.57,1,0,WARNING
1769707863.141802,4.73,0.0,0.55,1,0,WARNING
1769707863.1562624,4.91,0.0,0.53,1,0,WARNING
1769707863.1823587,5.23,0.0,0.43,1,0,WARNING
1769707863.1996956,5.31,0.0,0.44,1,0,WARNING
1769707863.2319047,5.62,0.0,0.4,1,0,WARNING
1769707863.279003,5.23,0.0,0.36,1,0,WARNING
1769707863.2965655,5.02,0.0,0.37,1,0,WARNING
1769707863.328387,5.53,0.0,0.31,1,0,WARNING
1769707863.3777409,6.17,0.0,0.29,1,0,WARNING
1769707863.4287415,6.43,0.0,0.27,1,0,WARNING
1769707863.4433956,6.37,0.0,0.27,1,0,WARNING
1769707863.4761267,6.27,0.0,0.26,1,0,WARNING
1769707863.5289297,5.84,0.0,0.23,1,0,WARNING
1769707863.54064,5.9,0.0,0.24,1,0,WARNING
1769707863.5840695,3.78,0.0,0.23,1,0,WARNING
1769707863.6374326,5.11,0.0,0.23,1,0,WARNING
1769707863.6554954,4.52,0.0,0.22,1,0,WARNING
1769707863.680591,7.06,0.0,0.22,1,0,WARNING
1769707863.6993892,7.09,0.0,0.23,1,0,WARNING
1769707863.729512,5.49,0.0,0.23,1,0,WARNING
1769707863.7751548,3.05,0.0,0.23,1,0,WARNING
1769707863.833971,4.55,0.0,0.23,1,0,WARNING
1769707863.839619,4.92,0.0,0.23,1,0,WARNING
1769707863.878009,4.59,0.0,0.23,1,0,WARNING
1769707863.9211688,3.11,0.0,0.22,1,0,WARNING
1769707863.9488344,3.37,0.0,0.22,1,0,WARNING
1769707863.9679794,5.41,0.0,0.23,1,0,WARNING
1769707864.0319011,6.02,0.0,0.24,1,0,WARNING
1769707864.0565426,6.58,0.0,0.24,1,0,WARNING
1769707864.0813313,6.19,0.0,0.23,1,0,WARNING
1769707864.1028497,5.89,0.0,0.24,1,0,WARNING
1769707864.1322715,6.48,0.0,0.24,1,0,WARNING
1769707864.1812582,7.88,0.0,0.24,1,0,WARNING
1769707864.227082,7.94,0.0,0.24,1,0,WARNING
1769707864.2424204,8.03,0.0,0.24,1,0,WARNING
1769707864.277634,5.92,0.0,0.24,1,0,WARNING
1769707864.3206415,5.04,0.0,0.25,1,0,WARNING
1769707864.347185,5.09,0.0,0.25,1,0,WARNING
1769707864.3675013,5.7,0.0,0.25,1,0,WARNING
1769707864.4176311,6.56,0.0,0.24,1,0,WARNING
1769707864.4326954,6.72,0.0,0.24,1,0,WARNING
1769707864.4814155,6.87,0.0,0.24,1,0,WARNING
1769707864.5354097,5.41,0.0,0.24,1,0,WARNING
1769707864.5483465,6.98,0.0,0.23,1,0,WARNING
1769707864.5789459,6.09,0.0,0.23,1,0,WARNING
1769707864.6317394,7.6,0.0,0.22,1,0,WARNING
1769707864.6428428,7.39,0.0,0.23,1,0,WARNING
1769707864.6717849,7.6,0.0,0.23,1,0,WARNING
1769707864.722168,9.66,0.0,0.23,1,0,WARNING
1769707864.7354372,9.68,0.0,0.23,1,0,WARNING
1769707864.7702405,9.77,0.0,0.23,1,0,WARNING
1769707864.8172133,8.74,0.0,0.23,1,0,WARNING
1769707864.8361583,9.19,0.0,0.23,1,0,WARNING
1769707864.8653316,9.44,0.0,0.23,1,0,WARNING
1769707864.9328647,9.16,0.0,0.23,1,0,WARNING
1769707864.955327,9.04,0.0,0.23,1,0,WARNING
1769707864.9767077,8.45,0.0,0.23,1,0,WARNING
1769707865.0312767,8.05,0.0,0.23,1,0,WARNING
1769707865.0426705,8.21,0.0,0.23,1,0,WARNING
1769707865.0724428,8.39,0.0,0.23,1,0,WARNING
1769707865.1215045,8.16,0.0,0.22,1,0,WARNING
1769707865.1392183,8.1,0.0,0.22,1,0,WARNING
1769707865.1670218,8.02,0.0,0.22,1,0,WARNING
1769707865.21971,7.94,0.0,0.23,1,0,WARNING
1769707865.23528,7.83,0.0,0.23,1,0,WARNING
1769707865.2628298,8.08,0.0,0.23,1,0,WARNING
1769707865.3199692,7.81,0.0,0.23,1,0,WARNING
1769707865.3338308,7.75,0.0,0.22,1,0,WARNING
1769707865.3808074,7.61,0.0,0.22,1,0,WARNING
1769707865.4338276,7.56,0.0,0.23,1,0,WARNING
1769707865.4452884,7.54,0.0,0.23,1,0,WARNING
1769707865.472026,7.8,0.0,0.22,1,0,WARNING
1769707865.5209844,7.64,0.0,0.23,1,0,WARNING
1769707865.5395155,7.71,0.0,0.23,1,0,WARNING
1769707865.5680778,7.55,0.0,0.23,1,0,WARNING
1769707865.6134377,7.65,0.0,0.23,1,0,WARNING
1769707865.62338,7.62,0.0,0.23,1,0,WARNING
1769707865.6701436,7.55,0.0,0.23,1,0,WARNING
1769707865.714367,7.53,0.0,0.23,1,0,WARNING
1769707865.740382,7.47,0.0,0.23,1,0,WARNING
1769707865.7611609,7.45,0.0,0.23,1,0,WARNING
1769707865.8245335,7.39,0.0,0.23,1,0,WARNING
1769707865.874875,7.48,0.0,0.23,1,0,WARNING
1769707865.8979113,7.48,0.0,0.23,1,0,WARNING
1769707865.921191,7.61,0.0,0.23,1,0,WARNING
1769707865.938483,7.59,0.0,0.23,1,0,WARNING
1769707865.9749434,7.53,0.0,0.23,1,0,WARNING
1769707866.0203192,7.64,0.0,0.22,1,0,WARNING
1769707866.0398116,7.6,0.0,0.22,1,0,WARNING
1769707866.0648673,7.56,0.0,0.23,1,0,WARNING
1769707866.1122985,7.71,0.0,0.23,1,0,WARNING
1769707866.1598144,7.63,0.0,0.23,1,0,WARNING
1769707866.1748362,7.66,0.0,0.22,1,0,WARNING
1769707866.204389,7.75,0.0,0.23,1,0,WARNING
1769707866.2715013,7.6,0.0,0.23,1,0,WARNING
1769707866.2904594,7.53,0.0,0.23,1,0,WARNING
1769707866.3239632,7.57,0.0,0.23,1,0,WARNING
1769707866.3383322,7.63,0.0,0.23,1,0,WARNING
1769707866.3690467,7.64,0.0,0.23,1,0,WARNING
1769707866.42332,7.8,0.0,0.23,1,0,WARNING
1769707866.43722,7.77,0.0,0.23,1,0,WARNING
1769707866.4613738,7.62,0.0,0.23,1,0,WARNING
1769707866.5134265,7.51,0.0,0.23,1,0,WARNING
1769707866.56348,7.27,0.0,0.23,1,0,WARNING
1769707866.581707,7.43,0.0,0.23,1,0,WARNING
1769707866.6092908,6.76,0.0,0.23,1,0,WARNING
1769707866.6569855,5.71,0.0,0.23,1,0,WARNING
1769707866.674541,6.11,0.0,0.23,1,0,WARNING
1769707866.7059648,6.26,0.0,0.23,1,0,WARNING
1769707866.7672367,6.91,0.0,0.23,1,0,WARNING
1769707866.7858257,6.61,0.0,0.23,1,0,WARNING
1769707866.8184326,7.1,0.0,0.23,1,0,WARNING
1769707866.8383281,7.13,0.0,0.23,1,0,WARNING
1769707866.8656511,7.38,0.0,0.23,1,0,WARNING
1769707866.9143343,7.63,0.0,0.23,1,0,WARNING
1769707866.9625306,7.6,0.0,0.23,1,0,WARNING
1769707866.9809797,7.61,0.0,0.23,1,0,WARNING
1769707867.00914,7.63,0.0,0.23,1,0,WARNING
1769707867.060711,7.61,0.0,0.23,1,0,WARNING
1769707867.0764415,7.65,0.0,0.23,1,0,WARNING
1769707867.1055613,7.66,0.0,0.23,1,0,WARNING
1769707867.1523998,7.71,0.0,0.23,1,0,WARNING
1769707867.1715584,7.66,0.0,0.23,1,0,WARNING
1769707867.2166567,7.78,0.0,0.23,1,0,WARNING
1769707867.2651184,7.71,0.0,0.23,1,0,WARNING
1769707867.283992,7.16,0.0,0.23,1,0,WARNING
1769707867.314018,7.53,0.0,0.23,1,0,WARNING
1769707867.3681748,7.61,0.0,0.22,1,0,WARNING
1769707867.3791769,7.64,0.0,0.22,1,0,WARNING
1769707867.4144773,8.25,0.0,0.23,1,0,WARNING
1769707867.4631171,8.33,0.0,0.23,1,0,WARNING
1769707867.4762886,8.51,0.0,0.23,1,0,WARNING
1769707867.5077357,8.33,0.0,0.23,1,0,WARNING
1769707867.5530112,8.16,0.0,0.23,1,0,WARNING
1769707867.5717459,7.95,0.0,0.23,1,0,WARNING
1769707867.5997243,7.86,0.0,0.23,1,0,WARNING
1769707867.6628973,7.95,0.0,0.23,1,0,WARNING
1769707867.6807241,8.06,0.0,0.23,1,0,WARNING
1769707867.717255,8.07,0.0,0.23,1,0,WARNING
1769707867.7685597,8.04,0.0,0.23,1,0,WARNING
1769707867.7790253,8.09,0.0,0.23,1,0,WARNING
1769707867.8075957,8.27,0.0,0.23,1,0,WARNING
1769707867.860371,8.62,0.0,0.23,1,0,WARNING
1769707867.8735468,8.94,0.0,0.23,1,0,WARNING
1769707867.9048479,8.58,0.0,0.23,1,0,WARNING
1769707867.9617906,8.13,0.0,0.23,1,0,WARNING
1769707867.9757102,8.22,0.0,0.23,1,0,WARNING
1769707868.0008214,8.86,0.0,0.23,1,0,WARNING
1769707868.0483212,8.73,0.0,0.23,1,0,WARNING
1769707868.0622685,8.46,0.0,0.23,1,0,WARNING
1769707868.122794,8.11,0.0,0.23,1,0,WARNING
1769707868.164479,8.06,0.0,0.23,1,0,WARNING
1769707868.1836507,8.17,0.0,0.23,1,0,WARNING
1769707868.2185366,8.76,0.0,0.23,1,0,WARNING
1769707868.2653768,8.03,0.0,0.23,1,0,WARNING
1769707868.275114,7.98,0.0,0.23,1,0,WARNING
1769707868.3054783,7.76,0.0,0.23,1,0,WARNING
1769707868.349282,7.48,0.0,0.22,1,0,WARNING
1769707868.367921,7.37,0.0,0.23,1,0,WARNING
1769707868.403378,7.39,0.0,0.22,1,0,WARNING
1769707868.4501317,7.38,0.0,0.22,1,0,WARNING
1769707868.4759529,7.44,0.0,0.22,1,0,WARNING
1769707868.495403,7.31,0.0,0.22,1,0,WARNING
1769707868.5700884,7.38,0.0,0.22,1,0,WARNING
1769707868.6106899,7.7,0.0,0.23,1,0,WARNING
1769707868.6363356,7.32,0.0,0.23,1,0,WARNING
1769707868.6603305,7.19,0.0,0.23,1,0,WARNING
1769707868.6746845,7.27,0.0,0.23,1,0,WARNING
1769707868.70256,6.8,0.0,0.23,1,0,WARNING
1769707868.7503445,7.07,0.0,0.23,1,0,WARNING
1769707868.7676666,6.99,0.0,0.23,1,0,WARNING
1769707868.7998304,7.09,0.0,0.23,1,0,WARNING
1769707868.850317,7.12,0.0,0.23,1,0,WARNING
1769707868.8685443,7.06,0.0,0.23,1,0,WARNING
1769707868.913877,7.22,0.0,0.23,1,0,WARNING
1769707868.9435492,7.14,0.0,0.23,1,0,WARNING
1769707869.0047665,7.16,0.0,0.23,1,0,WARNING
1769707869.0222967,7.29,0.0,0.23,1,0,WARNING
1769707869.0533953,7.18,0.0,0.22,1,0,WARNING
1769707869.0730653,7.08,0.0,0.22,1,0,WARNING
1769707869.1052468,7.1,0.0,0.52,1,0,WARNING
1769707869.1539943,6.97,0.0,0.64,1,0,WARNING
1769707869.1790352,7.28,0.0,0.67,1,0,WARNING
1769707869.1994653,7.73,0.0,0.74,1,0,WARNING
1769707869.2488558,7.59,0.0,0.81,1,0,WARNING
1769707869.2731366,7.56,0.0,0.81,1,0,WARNING
1769707869.3082106,7.76,0.0,0.95,1,0,WARNING
1769707869.3566368,7.18,0.0,0.88,1,0,WARNING
1769707869.4029496,6.84,0.0,0.95,1,0,WARNING
1769707869.4129512,7.09,0.0,0.95,1,0,WARNING
1769707869.4537125,6.81,0.0,0.92,1,0,WARNING
1769707869.507385,6.95,0.0,0.95,1,0,WARNING
1769707869.5222392,6.71,0.0,0.97,1,0,WARNING
1769707869.5507905,7.03,0.0,0.91,1,0,WARNING
1769707869.5707858,6.86,0.0,0.92,1,0,WARNING
1769707869.6019013,6.99,0.0,0.92,1,0,WARNING
1769707869.6512103,7.03,0.0,0.93,1,0,WARNING
1769707869.6653864,6.99,0.0,0.9,1,0,WARNING
1769707869.7025433,6.99,0.0,0.91,1,0,WARNING
1769707869.74561,6.91,0.0,0.89,1,0,WARNING
1769707869.7984352,6.67,0.0,0.9,1,0,WARNING
